Date,Open,High,Low,Close,Adj Close,Volume
2018-03-06,101.690002,104.690002,101.680000,103.889999,103.889999,2764300
2018-03-07,102.000000,106.389999,102.000000,105.650002,105.650002,3448300
2018-03-08,107.680000,107.889999,105.559998,106.459999,106.459999,2011200
2018-03-09,108.110001,108.889999,106.809998,107.209999,107.209999,2487500
2018-03-12,107.599998,108.480003,105.459999,107.900002,107.900002,2240100
2018-03-13,107.599998,108.480003,105.000000,106.430000,106.430000,3205800
2018-03-14,105.470001,109.879997,105.400002,108.669998,108.669998,2115500
2018-03-15,108.669998,109.419998,106.279999,108.040001,108.040001,2468100
2018-03-16,107.610001,108.379997,106.580002,106.820000,106.820000,1585600
2018-03-19,106.500000,108.120003,104.790001,106.830002,106.830002,1420000
2018-03-20,107.040001,110.070000,107.040001,110.010002,110.010002,2398300
2018-03-21,109.550003,112.660004,108.230003,108.879997,108.879997,2281900
2018-03-22,107.510002,108.769997,105.639999,105.879997,105.879997,1570100
2018-03-23,106.070000,106.190002,102.309998,102.449997,102.449997,1905500
2018-03-26,105.059998,105.959999,102.900002,104.879997,104.879997,2728600
2018-03-27,106.169998,106.190002,98.629997,99.790001,99.790001,2654400
2018-03-28,99.110001,99.760002,94.739998,95.940002,95.940002,3639400
2018-03-29,96.879997,99.379997,95.169998,98.389999,98.389999,2486900
2018-04-02,97.320000,99.160004,96.339996,97.370003,97.370003,1626200
2018-04-03,98.410004,99.290001,96.849998,97.860001,97.860001,1246500
2018-04-04,95.389999,99.669998,94.389999,99.220001,99.220001,1402700
2018-04-05,100.000000,101.150002,98.570000,99.449997,99.449997,1460000
2018-04-06,98.459999,99.809998,96.860001,97.459999,97.459999,1125100
2018-04-09,98.190002,100.120003,97.480003,98.010002,98.010002,1026200
2018-04-10,99.730003,102.300003,97.580002,101.790001,101.790001,2175300
2018-04-11,101.720001,103.730003,101.059998,102.129997,102.129997,1500600
2018-04-12,102.400002,106.570000,102.400002,106.389999,106.389999,2486200
2018-04-13,107.019997,107.330002,102.830002,104.150002,104.150002,1691000
2018-04-16,105.000000,105.440002,102.720001,103.860001,103.860001,1804100
2018-04-17,105.230003,108.010002,104.690002,107.580002,107.580002,1732500
2018-04-18,107.150002,107.779999,105.120003,106.800003,106.800003,1118200
