,Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Predicted using Facebook model,Predicted using Intel model,Predicted using Microsoft model,Predicted using Google model,Predicted using Apple model
137,2015-01-27,55.98,56.299999,54.32,55.529999,55.529999,861700,27,1,2015,55.05003504194613,54.90741260053428,55.03032574139651,55.809091704338464,55.33957908909987
138,2015-01-28,55.900002,56.279999,53.32,53.41,53.41,1217400,28,1,2015,54.41173128491121,54.181451770101845,54.31189044051527,54.963045401385095,54.64983698998756
139,2015-01-29,53.380001,54.040001000000004,51.779999,53.689999,53.689999,1989200,29,1,2015,52.752836963562686,52.62233165999117,52.78008494097699,53.26914569444336,53.0582644417419
140,2015-01-30,53.48,53.5,51.599998,51.650002,51.650002,1444600,30,1,2015,52.13884418959515,52.00266308183989,52.09732842400595,52.675731541298326,52.421196239408374
141,2015-02-02,52.080002,53.68,51.41,53.349998,53.349998,2320200,2,2,2015,52.92390393467096,52.82404454110838,53.05068148757377,54.301112865245,53.36218386872277
142,2015-02-03,53.400002,55.639998999999996,53.310001,55.599998,55.599998,1930300,3,2,2015,55.14950583174004,55.08213287348459,55.374810356640054,56.6416308249145,55.62067980007984
143,2015-02-04,55.279999,56.66,55.130001,56.189999,56.189999,1728800,4,2,2015,56.285064076586764,56.23159205007748,56.43617416628008,57.75271211529923,56.72753463701264
144,2015-02-05,58.700001,61.150002,57.610001000000004,61.060001,61.060001,2896100,5,2,2015,59.97535103546133,59.78534902813456,60.09704476695822,61.08984462698591,60.35171503663558
145,2015-02-06,61.52,62.93,60.91,62.459998999999996,62.459998999999996,2029300,6,2,2015,62.25948934629412,62.13641993997801,62.34195447254291,63.52882224190857,62.63131341776018
146,2015-02-09,62.0,62.02,60.09,60.48,60.48,1674900,9,2,2015,60.73311069565918,60.531845112349416,60.599661767159574,61.78582081902954,61.00962114524907
147,2015-02-10,61.110001000000004,61.110001000000004,58.759997999999996,58.990002000000004,58.990002000000004,1723500,10,2,2015,59.53098295468479,59.29442417742727,59.362098807289854,60.49211471315262,59.78795990677938
148,2015-02-11,58.919998,60.900002,58.419998,60.599998,60.599998,1042700,11,2,2015,60.16884785927792,60.0625378328829,60.33492312356225,61.48934977351028,60.572120748106045
149,2015-02-12,61.790001000000004,62.59,60.529999,61.93,61.93,1407400,12,2,2015,61.57616651284707,61.421552320103075,61.571876877020685,62.675171249923196,61.89822693795524
150,2015-02-13,62.290001000000004,65.120003,62.0,64.18,64.18,2603500,13,2,2015,64.37844287537376,64.25543242267861,64.6101517780614,65.38173809116388,64.77041300329812
151,2015-02-17,64.190002,64.190002,62.5,63.830002,63.830002,1975600,17,2,2015,63.02335942015884,62.85196685794965,62.921741859148696,63.785888263515986,63.28406777998411
152,2015-02-18,65.400002,66.220001,63.849998,65.900002,65.900002,1982300,18,2,2015,64.9983293956546,64.81214700722931,64.96613909189132,65.75373505742051,65.2692641729377
153,2015-02-19,67.050003,68.339996,65.160004,68.059998,68.059998,2088200,19,2,2015,66.81247860962091,66.57392578613026,66.77637039192027,67.47634479425912,67.05913082405296
154,2015-02-20,68.290001,68.989998,67.809998,68.940002,68.940002,2202300,20,2,2015,68.49215297664267,68.40367926101206,68.54289079320526,69.26303518157735,68.79513833906147
